code,name
CL,Anguilla
DK,Benin
TO,Colombia
TL,Congo
PE,Palestinian Territory
ST,Holy See (Vatican City State)
TH,Estonia
QA,Bangladesh
KM,Colombia
TV,Isle of Man
CI,Monaco
BB,Djibouti
FR,Cameroon
KG,Burkina Faso
AE,Reunion
MX,Algeria
MR,Bahamas
SE,Solomon Islands
AL,Bouvet Island (Bouvetoya)
SL,Papua New Guinea
IQ,Myanmar
SM,Algeria
KI,Turkmenistan
CU,Ghana
HN,Tokelau
QA,Spain
GH,Comoros
HR,Lebanon
QA,Lesotho
GH,Bolivia
EC,Iceland
TG,North Macedonia
YE,Mauritius
BN,Cameroon
TL,Brunei Darussalam
SE,Cameroon
PS,Bangladesh
QA,Malaysia
BN,Mongolia
DM,Egypt
YE,Sao Tome and Principe
NG,Taiwan
YE,Guyana
GR,Sweden
IN,Ireland
BH,Sao Tome and Principe
NR,Armenia
LI,Slovakia (Slovak Republic)
MY,Antarctica (the territory South of 60 deg S)
FI,Paraguay
