concept_id,label
CON0000,machine learning
CON0001,graph theory
CON0002,fraud detection
CON0003,supply chain
CON0004,natural language processing
CON0005,vector search
CON0006,knowledge graphs
CON0007,cybersecurity
CON0008,recommendation systems
CON0009,data engineering
CON0010,distributed systems
CON0011,anomaly detection
CON0012,neural networks
CON0013,transformers
CON0014,retrieval augmented generation
CON0015,purpose brother
CON0016,ago site
CON0017,face election
CON0018,dog chair
CON0019,since blue
CON0020,require sit
CON0021,wait offer
CON0022,begin performance
CON0023,knowledge almost
CON0024,all better
CON0025,discover early
CON0026,mouth play
CON0027,agreement option
CON0028,decide sense
CON0029,rate science
CON0030,offer kind
CON0031,discussion list
CON0032,perform fall
CON0033,table true
CON0034,according song
CON0035,sure collection
CON0036,save knowledge
CON0037,grow fall
CON0038,clearly dinner
CON0039,source great
CON0040,blue best
CON0041,husband bill
CON0042,her throw
CON0043,guy PM
CON0044,everything surface
CON0045,animal show
CON0046,machine not
CON0047,capital win
CON0048,human bar
CON0049,old finally
CON0050,themselves production
CON0051,present value
CON0052,training high
CON0053,participant dark
CON0054,sea available
CON0055,answer recently
CON0056,drive spring
CON0057,figure base
CON0058,top early
CON0059,trial blood
CON0060,husband fall
CON0061,long prove
CON0062,they his
CON0063,commercial hospital
CON0064,hear determine
CON0065,religious example
CON0066,science write
CON0067,result raise
CON0068,away politics
CON0069,prove Congress
CON0070,none shoulder
CON0071,election common
CON0072,maintain hundred
CON0073,expect wish
CON0074,push rise
CON0075,onto discuss
CON0076,reveal garden
CON0077,threat special
CON0078,stand arrive
CON0079,drop term
