warehouse_id,city,state,country,capacity_pallets
WH000,New Brooke,RI,US,31496
WH001,South Dianeshire,NC,US,27177
WH002,Sarahborough,TN,US,12978
WH003,Johnfurt,DC,US,6681
WH004,Stephenland,AL,US,6852
WH005,Howellshire,CT,US,43687
WH006,New Jasonview,DC,US,28749
WH007,Nicolebury,MN,US,23719
WH008,Ericside,VT,US,28259
WH009,Cherylhaven,AL,US,27441
WH010,Sarahville,FM,US,31106
WH011,West Darrell,CT,US,48280
WH012,West Juan,IL,US,4050
WH013,Jamesview,NY,US,44629
WH014,Kington,CO,US,43324
WH015,Calderonton,AL,US,42848
WH016,Kellieview,GA,US,6949
WH017,Arnoldchester,OH,US,4472
WH018,North Charlesberg,ND,US,26886
WH019,Port Mikeside,FL,US,48224
